username,note
Autre31415,Renovate contributor
adam-moss,Renovate contributor
bahmutov,open source
destroyerofbuilds,Renovate contributor
dylang,open source
ecsnavarretemit,student
feross,open source
hbetts,Renovate contributor
jycouet,Renovate contributor
rarkins,Renovate contributor
sindresorhus,open source
singapore,Renovate contributor
tj,open source
vvo,open source
hulkish,Renovate contributor
ChALkeR,open source
Urigo,open source
tunnckoCore,open source
olstenlarck,open source
wmhilton,open source
